query,KO,KEGG_taxon,KEGG_score,SwissProt_subject,SwissProt_taxon,SwissProt_bitscore,SwissProt_evalue,NR_subject,NR_taxon,NR_bitscore,NR_evalue
g3878.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR04840CA,108.612,sp|Q59N20|MSS11_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),121.0,4.53e-28,gb|KHC45244.1|,Candida albicans P60002,119.0,5.10e-26
g3898.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR04610CA,633.254,sp|Q5A6K2|ATG22_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),628.0,0.0,gb|KAK6871852.1|,Candida tropicalis,706.0,0.0
g4840.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400290CA,457.603,sp|D0C9N6|CNTA_ACIB2,Acinetobacter baumannii (strain ATCC 19606 / DSM 30007 / JCM 6841 / CCUG 19606 / CIP 70.34 / NBRC 109757 / NCIMB 12457 / NCTC 12156 / 81),132.0,1.04e-34,ref|XP_066831919.1|,Lodderomyces beijingensis,460.0,3.55e-158
g1300.t1,K10742,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C600320CA,194.126,sp|D3ZG52|DNA2_RAT,Rattus norvegicus,75.1,1.76e-15,gb|KHC34412.1|,Candida albicans Ca6,199.0,1.33e-55
g6511.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,568.155,sp|Q12019|MDN1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),487.0,8.18e-155,gb|RCK59213.1|,Candida viswanathii,602.0,0.0
g5840.t1,K28103,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400820WA,56.225,sp|Q03829|MME1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),46.2,6.60e-07,ref|XP_049265390.1|,Candida,67.4,3.21e-11
g5385.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C307680WA,135.576,sp|Q5ADX2|HIR3_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),143.0,4.61e-40,gb|KAG4409342.1|,Candida tropicalis,144.0,3.84e-37
g2766.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,117.472,sp|Q12019|MDN1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),98.2,4.57e-24,ref|XP_049265401.1|,Candida,130.0,4.40e-32
g7782.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C200650WA,1228.77,sp|P87136|YDM5_SCHPO,Schizosaccharomyces pombe (strain 972 / ATCC 24843),199.0,1.14e-50,ref|XP_001528706.2|,Lodderomyces elongisporus,1331.0,0.0
g2206.t1,K11099,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C203880CA,112.079,sp|O74966|RUXG_SCHPO,Schizosaccharomyces pombe (strain 972 / ATCC 24843),95.1,1.53e-26,ref|XP_064738328.1|,Scheffersomyces amazonensis,125.0,2.34e-35
g2298.t1,K02269,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C205930WA,83.5741,sp|Q6BPV1|COX9_DEBHA,Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968),80.5,4.01e-21,ref|XP_020074143.1|,Hyphopichia burtonii NRRL Y-1933,87.8,1.08e-20
g4887.t1,K14559,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C200070CA,627.091,sp|P47083|MPP10_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),330.0,4.22e-104,ref|XP_049263627.1|,Candida,731.0,0.0
g7313.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,437.187,sp|Q12019|MDN1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),240.0,2.52e-70,gb|KAG4409418.1|,Candida tropicalis,464.0,4.43e-145
g8011.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C701940CA,63.1586,sp|Q6BVE3|PRM10_DEBHA,Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968),58.9,3.04e-09,ref|XP_067548645.1|,Candida metapsilosis,68.9,2.04e-09
g4419.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,114.775,sp|Q12019|MDN1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),95.1,2.33e-23,gb|EEQ45361.1|,Candida albicans WO-1,120.0,6.59e-29
g2723.t1,K17773,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C106640CA,92.4337,sp|P80967|TOM5_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),45.4,1.27e-07,ref|XP_019330661.1|,Candida albicans SC5314,90.9,1.78e-22
g1613.t2,K14715,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C300390WA,205.297,sp|Q640S1|S39A9_XENTR,Xenopus tropicalis,122.0,1.15e-31,ref|XP_002418984.1|,Candida dubliniensis CD36,223.0,8.73e-68
g4649.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,136.732,sp|Q12019|MDN1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),110.0,8.41e-29,gb|KAK6880265.1|,Candida tropicalis,142.0,1.71e-38
g5061.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C302870CA,122.479,sp|P38680|MTR_NEUCR,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987),47.8,1.22e-06,ref|XP_002548261.1|,Candida tropicalis MYA-3404,142.0,9.35e-38
g5909.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR00270CA,108.997,sp|P54563|YQJZ_BACSU,Bacillus subtilis (strain 168),79.7,2.32e-19,emb|CAI5755527.1|,Candida verbasci,122.0,3.34e-33
g2508.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,456.447,sp|Q12019|MDN1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),251.0,1.09e-70,gb|KAK6873928.1|,Candida tropicalis,393.0,3.48e-116
g7029.t2,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C209130CA,233.417,sp|Q59XL0|IFF6_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),232.0,2.52e-69,ref|XP_051674018.1|,Candida margitis,253.0,2.41e-77
g433.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C401960CA,244.202,sp|Q6BXG5|TDA11_DEBHA,Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968),200.0,4.30e-58,ref|XP_051621198.1|,Candida jiufengensis,244.0,2.00e-72
g1674.t1,K03844,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C602270CA,165.622,sp|Q59S72|ALG11_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),172.0,9.57e-51,gb|KAF6070885.1|,Candida albicans,170.0,4.66e-48
g2475.t1,K15255,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR00060CA,67.781,sp|Q5AXT5|PIF1_EMENI,Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139),57.8,8.02e-09,emb|CUM51845.1|,Debaryomyces tyrocola,84.7,5.97e-15
g7368.t2,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C209130CA,229.95,sp|Q59XL0|IFF6_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),237.0,2.01e-71,ref|XP_051674018.1|,Candida margitis,255.0,4.01e-78
g6990.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C603950CA,272.322,sp|Q5A8H7|SWC5_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),271.0,2.63e-88,gb|RCK64871.1|,Candida viswanathii,296.0,3.43e-95
g1417.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C104910CA,388.652,sp|Q9UTA9|YL89_SCHPO,Schizosaccharomyces pombe (strain 972 / ATCC 24843),95.9,6.45e-22,ref|XP_003867835.1|,Candida orthopsilosis Co 90-125,417.0,1.38e-142
g7660.t1,K15255,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR00060CA,134.035,sp|P38766|RRM3_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),113.0,6.42e-29,ref|XP_002421612.1|,Candida dubliniensis CD36,147.0,2.85e-38
g7680.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C504970CA,225.328,sp|P49413|UAY_EMENI,Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139),62.4,4.75e-10,gb|EMG47897.1|,Candida maltosa Xu316,242.0,4.36e-71
g5271.t1,K28103,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400820WA,56.225,sp|Q03829|MME1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),46.2,6.60e-07,ref|XP_049265390.1|,Candida,67.4,3.21e-11
g7446.t1,K18748,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C504730CA,187.578,sp|Q5AK62|SSD1_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),236.0,1.93e-69,gb|RCK65239.1|,Candida viswanathii,271.0,1.06e-78
g2298.t2,K02269,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C205930WA,97.0561,sp|Q6BPV1|COX9_DEBHA,Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968),92.0,1.04e-25,gb|KAL6452179.1|,Candida maltosa Xu316,102.0,1.83e-26
g7039.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400600CA,127.487,sp|Q6BMF7|AIM3_DEBHA,Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968),76.3,2.85e-16,gb|EMG47539.1|,Candida maltosa Xu316,129.0,4.54e-32
g2975.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,1365.52,sp|Q12019|MDN1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),965.0,0.0,gb|KAG4409418.1|,Candida tropicalis,1517.0,0.0
g812.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,197.208,sp|Q12019|MDN1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),127.0,3.09e-33,gb|RCK59213.1|,Candida viswanathii,219.0,3.40e-62
g7373.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C210330CA,108.227,sp|Q5A5U6|PGA30_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876),108.0,4.79e-28,ref|XP_049182602.1|,Candida oxycetoniae,135.0,9.90e-37
g8041.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,418.313,sp|Q12019|MDN1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),364.0,1.75e-114,ref|XP_002545274.1|,Candida tropicalis MYA-3404,482.0,5.54e-169
g2474.t1,K15255,Fungi | Ascomycetes | Eurotiomycetes | afm:AFUA_5G13370,59.3066,sp|Q5AXT5|PIF1_EMENI,Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139),57.8,2.25e-08,ref|XP_049262271.1|,Candida,125.0,4.23e-28
