query,KO,taxon,score
g3878.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR04840CA,108.612
g4505.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR00140WA,53.5286
g909.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C103660WA,121.324
g390.t1,K21156,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C603580WA,51.2174
g1943.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C110350CA,192.2
g7446.t1,K18748,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C504730CA,187.578
g5889.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C501500CA,78.1814
g2298.t2,K02269,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C205930WA,97.0561
g4843.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C702540WA,82.8037
g5998.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C601560WA,67.0106
g7039.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400600CA,127.487
g6425.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C704000WA,123.25
g2975.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,1365.52
g859.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C103840WA,77.7962
g5993.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C601560WA,67.0106
g812.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,197.208
g4440.t1,K15458,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C703010WA,52.7582
g6762.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C302640CA,442.58
g7373.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C210330CA,108.227
g6828.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR09560CA,366.696
g8041.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,418.313
g2474.t1,K15255,Fungi | Ascomycetes | Eurotiomycetes | afm:AFUA_5G13370,59.3066
