query,KO,taxon,score
g575.t1,K05841,Fungi | Ascomycetes | Eurotiomycetes | afm:AFUA_2G02220,28.8758
g3201.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C200910WA,31.9574
g1418.t1,None,Bacteria | other Gammaproteobacteria | Xanthomonas | xcc:XCC3374,28.1054
g1317.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C302640CA,49.6766
g2474.t1,K15255,Fungi | Ascomycetes | Eurotiomycetes | afm:AFUA_5G13370,59.3066
g5746.t1,K23959,Animals | Fishes | Beloniformes | ola:101163587,27.335
g6431.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C600080CA,171.014
g460.t1,K19827,Animals | Fishes | Beloniformes | ola:101157308,36.965
g4598.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR01470WA,233.802
g7448.t1,K07799,Bacteria | other Gammaproteobacteria | Xanthomonas | xom:XOO3957,20.0162
g3960.t1,None,Viruses | Viruses | vg | vg:940403,35.8094
g4817.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C501680CA,43.8986
g2915.t1,None,Animals | Fishes | Cypriniformes | dre:100534679,30.0314
g8008.t1,K13908,Animals | Mammals | Artiodactyla | ssc:110259210,33.8834
g1318.t1,K12762,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C501250WA,28.4906
g2478.t1,K28212,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C703970CA,28.8758
g798.t1,None,Bacteria | Actinomycetota | Mycobacteroides | mab:MAB_4615,28.8758
g2609.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C504970CA,142.51
g5939.t1,None,Viruses | Viruses | vg | vg:62974461,27.335
g1119.t1,None,Animals | Mammals | Primates | mcc:716147,23.8682
g849.t1,None,Animals | Insects | Diptera | aga:3290497,30.4166
g7682.t1,K07070,Bacteria | Enterobacteria | Erwinia | eam:EAMY_3399,27.7202
g6858.t1,K11498,Animals | Insects | Diptera | aag:5578606,43.1282
g859.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C103840WA,77.7962
g2517.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C602790CA,41.9726
g4505.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR00140WA,53.5286
g2628.t1,K22063,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C602520WA,57.7658
g5419.t1,K15144,Animals | Mammals | Primates | hsa:5469,34.2686
g6043.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C600800CA,116.316
g7490.t1,None,Viruses | Viruses | vg | vg:40089781,27.7202
g615.t1,None,Animals | Fishes | Beloniformes | ola:105355454,54.299
g2497.t1,K16308,Animals | Insects | Diptera | dme:Dmel_CG10522,21.9422
g549.t1,K01794,Animals | Mammals | Lagomorpha | ocu:100341351,31.9574
g4771.t1,K05127,Animals | Mammals | Perissodactyla | ecb:100067287,27.335
g5844.t1,None,Fungi | Ascomycetes | Eurotiomycetes | aor:AO090012000498,26.9498
g3218.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C306520CA,80.8777
g3716.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C307760CA,458.759
g2834.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C109570WA,73.9442
g5958.t1,None,Fungi | Ascomycetes | Sordariomycetes | mgr:MGG_07656,27.7202
g67.t1,K19850,Fungi | Ascomycetes | Eurotiomycetes | afm:AFUA_3G14410,21.1718
g810.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C603280WA,98.2117
g3563.t1,K05445,Animals | Mammals | Lagomorpha | ocu:100348980,25.409
g4567.t1,None,Animals | Insects | Hymenoptera | ame:410756,27.7202
g7070.t1,None,Viruses | Viruses | vg | vg:1733036,29.6462
g4800.t1,K04567,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C701870WA,87.8113
g198.t1,K04257,Animals | Mammals | Rodentia | rno:288789,29.6462
g3361.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C303740WA,85.5001
g2816.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C602090CA,72.0182
g4368.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C100970WA,60.8474
g5305.t1,K18694,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C602420WA,71.2478
g7574.t1,K00624,Animals | Insects | Diptera | dme:Dmel_CG1041,30.0314
g3433.t1,K09503,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C500350CA,42.3578
g3051.t1,None,Viruses | Viruses | vg | vg:65131444,28.1054
g6288.t1,None,Bacteria | Enterobacteria | Serratia | smar:SM39_1611,34.6538
g3197.t1,None,Plants | Green algae | Chlamydomonadaceae | cre:CHLRE_06g280150v5,25.7942
g2236.t2,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C205180WA,97.0561
g961.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C604140CA,50.0618
g4426.t1,None,Fungi | Ascomycetes | Eurotiomycetes | aor:AO090005001317,101.679
g2526.t1,K02207,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C701920WA,20.4014
g5739.t1,None,Plants | Eudicots | Rutaceae | cit:102625251,31.5722
g6630.t1,None,Plants | Green algae | Chlamydomonadaceae | cre:CHLRE_14g629400v5,29.6462
g4443.t1,K08838,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C602160WA,45.4394
g8099.t1,K06261,Animals | Mammals | Primates | mcc:721584,27.335
g8019.t2,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C603360CA,44.669
g7483.t1,K16882,Animals | Fishes | Cypriniformes | dre:100148002,28.8758
g4339.t1,K20164,Animals | other Ecdysozoa | Nematodes | cel:CELE_C52E12.4,34.2686
g7399.t1,K12327,Animals | Mammals | Carnivora | fca:101095888,44.2838
g768.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,167.548
g3205.t1,None,Archaea | Methanobacteriota | Methanosarcina | mba:Mbar_A0372,21.557
g1336.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C604140CA,96.2857
g991.t1,K10742,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C600320CA,53.5286
g7907.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C701010WA,63.929
g1845.t1,K06205,Bacteria | Enterobacteria | Pectobacterium | eca:ECA0001,26.1794
g4329.t1,K16073,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400400WA,47.7506
g7482.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C208330WA,125.946
g7069.t1,K27962,Animals | Mammals | Carnivora | fca:101096001,31.9574
g2225.t1,None,Fungi | Ascomycetes | Eurotiomycetes | ani:ANIA_04362,30.0314
g7050.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C108530WA,107.457
g1813.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C601620WA,49.2914
g3099.t1,None,Archaea | Thermoproteota | Pyrobaculum | pai:PAE0440,30.4166
g6040.t1,K03529,Bacteria | Alphaproteobacteria | Rhodospirillum | rru:Rru_A3248,27.335
g1008.t1,None,Viruses | Viruses | vg | vg:75692073,25.409
g5042.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C702350CA,30.0314
g5993.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C601560WA,67.0106
g6990.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C603950CA,272.322
g3639.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C210020CA,51.9878
g3011.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C502110WA,128.257
g7156.t2,K07232,Animals | Mammals | Artiodactyla | ssc:100524723,34.2686
g6745.t1,None,Bacteria | Enterobacteria | Serratia | smar:SM39_3885,32.7278
g1129.t1,K18083,Animals | Mammals | Carnivora | cfa:475612,27.7202
g6978.t1,K08712,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C603840CA,54.299
g811.t1,None,Viruses | Viruses | vg | vg:20098471,28.4906
g7869.t1,None,Fungi | Ascomycetes | Eurotiomycetes | aor:AO090005001486,265.003
g3576.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C505450CA,40.0466
g4311.t1,K06821,Animals | Mammals | Didelphimorphia | mdo:100011009,28.1054
g5998.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C601560WA,67.0106
g6091.t1,K28019,Animals | Insects | Diptera | aga:1277227,21.1718
g6341.t1,K23887,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C406530CA,889.026
g4328.t1,K16714,Animals | Insects | Diptera | aga:3290908,31.5722
g799.t1,K19828,Plants | Eudicots | Rosaceae | mdm:103421845,28.8758
g3626.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C505360CA,66.6254
g2940.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C703370CA,53.5286
g2428.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C208060WA,125.561
g6179.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C105440CA,60.4622
g4818.t1,K08838,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C602160WA,45.4394
g7680.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C504970CA,225.328
g6896.t1,None,Plants | Eudicots | Fabaceae | mtr:11443307,31.9574
g4936.t1,K01358,Bacteria | Actinomycetota | Streptomyces | sco:SCO7281,29.261
g2770.t1,K01183,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR00180CA,48.521
g2975.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,1365.52
g4942.t1,K03869,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR00370WA,115.161
g5271.t1,K28103,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400820WA,56.225
g1487.t1,K12572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C505170WA,36.965
g6195.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C603570WA,108.612
g3971.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR06140WA,339.347
g58.t1,K08836,Animals | Birds | Galliformes | gga:423878,54.299
g3395.t1,None,Bacteria | other Gammaproteobacteria | Acinetobacter | aci:ACIAD2630,28.8758
g6044.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C600800CA,107.071
g7980.t1,K11365,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C602310WA,172.17
g6322.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C406260WA,170.244
g114.t1,K12562,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C604040CA,29.6462
g7168.t1,None,Viruses | Viruses | vg | vg:80558107,29.261
g7130.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR09140CA,634.409
g541.t1,None,Animals | Insects | Diptera | aga:1281024,26.9498
g1222.t1,None,Plants | Green algae | Chlamydomonadaceae | cre:CHLRE_05g232751v5,30.4166
g6956.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C404790WA,389.037
g8115.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C703620CA,105.916
g2765.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C209130CA,77.4109
g92.t1,None,Animals | Mammals | Primates | mcc:114673712,48.521
g616.t1,None,Plants | Eudicots | Rosaceae | mdm:103437580,29.6462
g3997.t1,K22836,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C505390CA,28.4906
g7409.t2,K11292,Fungi | Ascomycetes | Sordariomycetes | ncr:NCU04611,48.521
g100.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,260.381
g3582.t1,K16714,Animals | Insects | Diptera | aga:3290908,29.261
g6828.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR09560CA,366.696
g867.t1,None,Plants | Eudicots | Cucurbitaceae | csv:101204355,32.3426
g2797.t1,None,Archaea | Methanobacteriota | Methanosarcina | mba:Mbar_A0564,31.187
g4584.t1,K05127,Animals | Mammals | Perissodactyla | ecb:100067287,26.9498
g3180.t1,K20061,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C603180CA,57.7658
g2475.t1,K15255,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR00060CA,67.781
g5291.t1,K17461,Animals | Insects | Coleoptera | tca:663301,24.6386
g1180.t1,None,Protists | Alveolates | Apicomplexa | pfa:PF3D7_0307700,27.7202
g7911.t1,K15029,Plants | Monocots | Poaceae | zma:100279318,33.113
g7088.t1,K14547,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C300330WA,142.895
g576.t1,K06261,Animals | Mammals | Primates | hsa:2811,40.817
g4678.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C602090CA,36.1946
g5046.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,136.732
g3127.t1,K10896,Animals | Insects | Diptera | aag:5571977,31.5722
g2969.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C109570WA,87.4261
g2623.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C603220WA,84.7297
g3756.t1,None,Bacteria | Actinomycetota | Mycolicibacterium | msm:MSMEG_6033,29.6462
g5385.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C307680WA,135.576
g6480.t1,None,Bacteria | other Gammaproteobacteria | Xanthomonas | xcc:XCC4015,26.1794
g4721.t1,K10742,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C600320CA,55.4546
g4745.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C207180WA,47.7506
g7080.t1,K18738,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C603380WA,31.187
g8011.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C701940CA,63.1586
g2486.t1,K11365,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C602310WA,53.9138
g2661.t1,K15437,Plants | Eudicots | Vitaceae | vvi:100251895,21.9422
g564.t1,None,Animals | Insects | Diptera | aga:1281024,26.9498
g8058.t1,None,Animals | Insects | Coleoptera | tca:103313439,28.1054
g8041.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,418.313
g7828.t1,K08176,Plants | Monocots | Poaceae | zma:732718,25.7942
g199.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C107610CA,73.559
g1493.t1,None,Bacteria | Alphaproteobacteria | Rhizobium | rle:pRL120114,28.8758
g2910.t1,K16743,Animals | Insects | Diptera | dme:Dmel_CG6875,36.1946
g1116.t1,K17799,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C303820CA,114.39
g2651.t1,None,Fungi | Basidiomycetes | Tremellomycetes | cne:CNI03080,30.0314
g994.t1,None,Bacteria | Cyanobacteriota | Synechocystis | syn:sll0188,23.483
g5268.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,161.77
g749.t1,K10165,Animals | Amphibians | Anura | xla:108713994,30.4166
g6440.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C500250CA,69.707
g6936.t1,None,Fungi | Ascomycetes | Sordariomycetes | fgr:FGSG_04824,43.8986
g7801.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR00170WA,339.732
g1613.t2,K14715,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C300390WA,205.297
g3437.t1,K03151,Archaea | Methanobacteriota | Haloferax | hvo:HVO_1651,27.335
g812.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,197.208
g2629.t1,K22382,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C703240WA,59.3066
g2329.t1,K08330,Fungi | Ascomycetes | Sordariomycetes | ncr:NCU09998,32.3426
g2488.t1,K11365,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C602310WA,52.373
g1675.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C500380WA,38.891
g4281.t1,None,Viruses | Viruses | vg | vg:18506408,25.0238
g3721.t1,K10742,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C600320CA,79.7221
g6520.t1,K00944,Animals | Mammals | Carnivora | cfa:102152410,28.4906
g4440.t1,K15458,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C703010WA,52.7582
g4436.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C301800CA,46.2098
g5363.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C600070CA,121.324
g2482.t1,K28357,Plants | Monocots | Poaceae | osa:4328080,28.1054
g8.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C200900WA,38.5058
g909.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C103660WA,121.324
g311.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C307680WA,133.65
g327.t1,None,Fungi | Ascomycetes | Eurotiomycetes | afm:AFUA_3G03350,26.5646
g5144.t1,None,Plants | Eudicots | Fabaceae | gmx:100804450,28.1054
g4887.t1,K14559,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C200070CA,627.091
g1311.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C601300WA,36.1946
g2935.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C600980CA,129.413
g1689.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400290CA,179.489
g1298.t1,None,Plants | Eudicots | Rosaceae | mdm:139196239,29.6462
g2298.t1,K02269,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C205930WA,83.5741
g813.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,196.823
g7202.t1,None,Fungi | Ascomycetes | Sordariomycetes | fgr:FGSG_05085,30.8018
g6940.t1,None,Bacteria | Actinomycetota | Amycolatopsis | amd:AMED_4787,30.0314
g7083.t1,K00869,Archaea | Methanobacteriota | Haloarcula | hma:rrnAC0077,26.1794
g551.t1,None,Plants | Monocots | Poaceae | zma:100286125,25.7942
g6752.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C302550CA,199.134
g2271.t2,K02199,Bacteria | Betaproteobacteria | Cupriavidus | reh:PHG219,24.2534
g6992.t1,K08712,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C603840CA,56.9954
g1467.t1,K11771,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400300CA,40.0466
g2810.t1,K07305,Animals | Amphibians | Anura | xtr:116409537,25.0238
g2663.t1,None,Plants | Green algae | Chlamydomonadaceae | cre:CHLRE_06g270700v5,28.8758
g7789.t1,None,Animals | Mammals | Carnivora | cfa:610160,25.409
g972.t1,K20521,Fungi | Ascomycetes | Eurotiomycetes | ani:ANIA_05981,35.4242
g1814.t1,K05356,Plants | Eudicots | Rutaceae | cit:102612772,28.1054
g4946.t1,K16073,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400400WA,47.7506
g6090.t2,None,Animals | Insects | Diptera | aga:133393386,110.923
g3534.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C100370WA,119.398
g2656.t1,K17608,Fungi | Ascomycetes | Sordariomycetes | smp:10802793,29.6462
g3597.t1,None,Plants | Eudicots | Solanaceae | sly:100191128,22.7126
g3442.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C701710WA,41.5874
g1157.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C505240CA,41.2022
g4915.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C602430WA,27.7202
g2707.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C111270WA,73.1738
g7845.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C700040CA,84.3445
g6231.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C403000CA,33.4982
g4843.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C702540WA,82.8037
g104.t1,K06499,Animals | Mammals | Rodentia | rno:292701,32.3426
g2971.t1,K11229,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C702990WA,62.003
g5318.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C403290WA,776.933
g1697.t1,K11771,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400300CA,36.965
g5464.t1,K11885,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C114420WA,427.172
g6901.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C401000CA,50.0618
g3723.t1,K06005,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C203670WA,77.0257
g834.t1,None,Animals | Insects | Diptera | dme:Dmel_CG34113,32.7278
g6061.t1,None,Bacteria | Actinomycetota | Bifidobacterium | blo:BL0889,22.3274
g1613.t1,K14715,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C300390WA,199.134
g3095.t1,None,Archaea | Thermoproteota | Pyrobaculum | pai:PAE0440,28.4906
g5166.t1,None,Animals | Fishes | Cypriniformes | dre:110437870,24.6386
g5230.t1,K18876,Bacteria | other Gammaproteobacteria | Xanthomonas | xom:XOO2129,30.0314
g6002.t1,None,Bacteria | Actinomycetota | Streptomyces | sco:SCO6167,32.3426
g2079.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C202910WA,39.2762
g744.t1,K10742,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C600320CA,207.608
g8168.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C108900WA,645.195
g3127.t2,K24456,Animals | other Ecdysozoa | Nematodes | cel:CELE_K02C4.4,33.8834
g4775.t1,K23644,Animals | Insects | Diptera | aga:5667420,24.6386
g7212.t1,K01649,Bacteria | Enterobacteria | Yersinia | yen:YE0654,28.4906
g7124.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR09070CA,279.641
g2867.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C207930CA,140.198
g1523.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C200640WA,88.5817
g2538.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400290CA,285.419
g7190.t1,K03700,Bacteria | Bacilli | Staphylococcus | ser:SERP1019,30.8018
g3574.t1,K11275,Fungi | Ascomycetes | Eurotiomycetes | ani:ANIA_02765,27.335
g628.t1,K12763,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR07890WA,274.248
g2950.t1,None,Viruses | Viruses | vg | vg:80542904,25.7942
g204.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C107560WA,159.073
g8134.t1,K11126,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C108130CA,575.859
g7878.t1,K17440,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C702120CA,133.65
g7234.t1,K16474,Animals | Insects | Diptera | aga:1276940,26.1794
g3448.t1,K01376,Protists | Euglenozoa | Kinetoplastea | lma:LMJF_34_4000,30.4166
g2104.t1,K00615,Animals | Insects | Diptera | aga:1270768,25.409
g7314.t1,K11771,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400300CA,128.257
g5857.t1,K14572,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C400970CA,149.058
g5890.t1,K23959,Animals | Fishes | Beloniformes | ola:101163587,27.335
g3642.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C307860CA,65.855
g8047.t1,K13219,Animals | Mammals | Carnivora | cfa:119871417,30.0314
g999.t1,None,Viruses | Viruses | vg | vg:30854949,33.8834
g6654.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C500730WA,31.5722
g2968.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C604140CA,227.254
g7361.t1,K21850,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C500470CA,38.5058
g2794.t1,K14836,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C604330WA,61.6178
g2489.t1,K28357,Plants | Monocots | Poaceae | osa:4328080,28.4906
g1158.t1,K07512,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C300200CA,50.8322
g3444.t1,K03072,Bacteria | Actinomycetota | Mycobacterium | mtu:Rv2587c,36.5798
g5205.t1,K07179,Plants | Eudicots | Solanaceae | sly:101248232,30.8018
g4895.t1,None,Plants | Eudicots | Rutaceae | cit:102625251,32.3426
g4447.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C505450CA,40.0466
g7462.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C505360CA,64.3142
g3771.t1,None,Plants | Monocots | Poaceae | zma:103633044,31.9574
g776.t1,K10165,Animals | Amphibians | Anura | xla:108713994,30.4166
g7373.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C210330CA,108.227
g4988.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C208150WA,119.012
g2513.t1,K10742,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C600320CA,35.039
g4565.t1,None,Viruses | Viruses | vg | vg:26629412,28.8758
g3084.t1,None,Viruses | Viruses | vg | vg:911832,30.0314
g3898.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR04610CA,633.254
g1340.t1,K24222,Animals | Mammals | Rodentia | rno:171088,28.4906
g4369.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C100980WA,80.4925
g2578.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C105900WA,177.178
g60.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C602200CA,70.8626
g3941.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR05760CA,363.229
g7291.t1,K22009,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C602190CA,40.4318
g5134.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C501500CA,78.1814
g30.t1,K04257,Animals | Mammals | Didelphimorphia | mdo:100026565,25.0238
g4955.t1,K13662,Bacteria | other Gammaproteobacteria | Xanthomonas | xac:XAC2582,23.8682
g5790.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C702350CA,30.0314
g3826.t1,None,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_C604300WA,97.0561
g4559.t1,K12331,Animals | Mammals | Perissodactyla | ecb:100064689,26.9498
g1820.t1,K17418,Animals | Birds | Galliformes | gga:772313,27.335
g3969.t1,K11568,Fungi | Ascomycetes | Pichiomycetes | cal:CAALFM_CR06160CA,79.3369
g7125.t1,K06507,Animals | Fishes | Cypriniformes | dre:100329481,29.6462
g7223.t1,None,Plants | Eudicots | Rosaceae | mdm:103413589,28.4906
