NR_query,NR_subject,NR_taxon,NR_bitscore,evalue
g723.t1,gb|KAL7665916.1|,Candida,74.7,5.67e-13
g6654.t1,ref|XP_047104671.1|,Schistocerca piceifrons,164.0,1.18e-43
g2968.t1,gb|EMG50256.1|,Candida maltosa Xu316,216.0,5.51e-56
g2794.t1,ref|XP_064740026.1|,Scheffersomyces amazonensis,95.5,6.69e-20
g1158.t1,gb|KAL6450786.1|,acyl-carrier-protein,53.9,1.61e-06
g5205.t1,gb|RLV91093.1|,Spathaspora sp. JA1,73.2,1.92e-12
g7462.t1,gb|KAL6451598.1|,Candida maltosa Xu316,67.0,2.38e-10
g7373.t1,ref|XP_049182602.1|,Candida oxycetoniae,135.0,9.90e-37
g4988.t1,gb|KAK6884886.1|,Candida tropicalis,159.0,4.40e-44
g521.t1,emb|CAI5979767.1|,Closterium sp. NIES-64,174.0,5.93e-46
g3898.t1,gb|KAK6871852.1|,Candida tropicalis,706.0,0.0
g4369.t1,ref|XP_066013796.1|,Yamadazyma tenuis,91.7,7.80e-20
g2578.t1,ref|XP_049182787.1|,Candida oxycetoniae,278.0,6.34e-76
g60.t1,gb|KAK6890541.1|,Candida tropicalis,108.0,3.53e-27
g3941.t1,gb|KAL1574709.1|,Candida albicans,375.0,5.89e-126
g5134.t1,ref|XP_064774947.1|,Scheffersomyces xylosifermentans,85.5,1.13e-16
g3826.t1,gb|EMG50142.1|,Candida maltosa Xu316,104.0,8.86e-19
g3969.t1,ref|XP_003869477.1|,Candida orthopsilosis Co 90-125,87.4,1.18e-18
g7125.t1,gb|KAL6449814.1|,Candida maltosa Xu316,101.0,2.42e-19
g7223.t1,gb|KAL6449813.1|,Candida maltosa Xu316,86.3,3.31e-14
g8012.t1,gb|KGU25857.1|,Candida albicans P57055,108.0,2.65e-24
g433.t1,ref|XP_051621198.1|,Candida jiufengensis,244.0,2.00e-72
g4958.t1,gb|EMG45886.1|,Candida maltosa Xu316,59.3,1.52e-08
g7368.t1,ref|XP_051674018.1|,Candida margitis,281.0,5.13e-88
g4754.t1,gb|KGU28775.1|,Candida albicans P34048,657.0,0.0
g2619.t1,emb|CAI5760463.1|,Candida verbasci,126.0,4.19e-31
g5840.t1,ref|XP_049265390.1|,Candida,67.4,3.21e-11
g346.t1,emb|CAI5979767.1|,Closterium sp. NIES-64,400.0,4.86e-116
g4345.t1,ref|XP_049262659.1|,Candida,167.0,8.52e-51
g3731.t1,ref|XP_002420829.1|,Candida dubliniensis CD36,942.0,0.0
g1854.t1,ref|XP_068355102.1|,Tritrichomonas foetus,82.8,1.10e-17
g1175.t1,gb|EMG45936.1|,Candida maltosa Xu316,63.9,3.50e-08
g2092.t1,gb|RCK55223.1|,Candida viswanathii,204.0,3.97e-61
g4114.t1,gb|KAL6454632.1|,Candida maltosa Xu316,157.0,9.82e-44
g4300.t1,ref|XP_002420829.1|,Candida dubliniensis CD36,145.0,6.13e-38
g2986.t1,gb|EMG46458.1|,Candida maltosa Xu316,141.0,1.56e-33
g560.t1,gb|KAK6873890.1|,Candida tropicalis,92.4,1.83e-19
g98.t1,ref|WP_172323239.1|,Bacteroidales,57.4,6.90e-06
g7039.t1,gb|EMG47539.1|,Candida maltosa Xu316,129.0,4.54e-32
g2644.t1,gb|EMG46290.1|,Candida maltosa Xu316,63.2,5.62e-09
g7735.t1,emb|CAI5759429.1|,Candida verbasci,304.0,1.09e-89
g99.t1,gb|KAK6885667.1|,Candida tropicalis,290.0,9.94e-86
g760.t1,ref|XP_051620262.1|,Candida jiufengensis,211.0,8.99e-56
g1497.t1,ref|XP_049264411.1|,Candida,73.9,1.21e-12
g3227.t1,gb|KAK6893890.1|,Candida tropicalis,62.0,1.96e-08
g4116.t1,ref|XP_049263518.1|,Candida,511.0,2.88e-180
g2174.t1,emb|CAI5756698.1|,Candida verbasci,102.0,1.96e-23
g254.t1,gb|KAG4405896.1|,Candida tropicalis,96.7,3.30e-23
g1431.t1,gb|KGU14810.1|,Candida albicans P87,97.4,2.68e-24
g1152.t1,ref|XP_002550887.1|,Candida tropicalis MYA-3404,96.7,1.00e-19
g2670.t1,gb|RCK65343.1|,Candida viswanathii,84.7,8.50e-17
g6746.t1,ref|XP_049180954.1|,Candida oxycetoniae,754.0,0.0
g5297.t1,ref|XP_049266509.1|,Candida,71.6,8.71e-12
g7052.t1,emb|CAI5757407.1|,Candida verbasci,70.1,7.49e-12
g7223.t2,gb|KAL6449813.1|,Candida maltosa Xu316,77.0,7.42e-12
g5889.t1,ref|XP_064774947.1|,Scheffersomyces xylosifermentans,85.5,1.13e-16
g2437.t1,gb|RLV93017.1|,Spathaspora sp. JA1,246.0,8.15e-74
g2044.t1,gb|RCK67266.1|,Candida viswanathii,112.0,6.27e-25
g7660.t1,ref|XP_002421612.1|,Candida dubliniensis CD36,147.0,2.85e-38
g4577.t1,gb|EMG45719.1|,Candida maltosa Xu316,61.2,1.94e-08
g3911.t1,gb|RCK62302.1|,Candida viswanathii,155.0,5.11e-44
g6425.t1,gb|KAK6873643.1|,Candida tropicalis,124.0,2.08e-29
g7374.t1,ref|XP_001523183.1|,Lodderomyces elongisporus,100.0,5.17e-24
g6569.t1,ref|XP_062879929.1|,Australozyma saopauloensis,97.4,7.17e-21
g5036.t1,emb|CAI5759432.1|,Candida verbasci,156.0,1.16e-41
g8229.t1,gb|RCK63115.1|,Candida viswanathii,53.5,1.26e-06
g7538.t1,gb|EMG50384.1|,Candida maltosa Xu316,962.0,0.0
g6575.t1,ref|XP_002419691.1|,Candida dubliniensis CD36,57.4,1.89e-06
g1218.t1,gb|EMG50488.1|,Candida maltosa Xu316,121.0,1.56e-30
g3251.t1,gb|EMG47192.1|,Candida maltosa Xu316,591.0,0.0
g1664.t1,ref|XP_064776116.1|,Scheffersomyces xylosifermentans,64.7,1.25e-09
g3387.t1,emb|CAI5758966.1|,Candida verbasci,75.1,4.76e-14
g2139.t1,gb|EMG50936.1|,Candida maltosa Xu316,154.0,9.98e-38
g2678.t1,gb|RCK59213.1|,Candida viswanathii,2288.0,0.0
g2013.t1,ref|XP_049264897.1|,Candida,87.4,1.36e-17
g2780.t1,ref|XP_049178394.1|,Candida oxycetoniae,92.4,6.89e-21
g1136.t1,gb|EMG47922.1|,Candida maltosa Xu316,147.0,1.10e-37
g390.t1,gb|KAK6897689.1|,Candida tropicalis,54.7,4.05e-06
g5992.t1,ref|XP_064738461.1|,Scheffersomyces amazonensis,54.3,3.26e-06
g5925.t1,gb|KAL6452936.1|,Candida maltosa Xu316,57.0,2.87e-08
